"time_1";"time_2";"dt"
"200218 10_29-10_37";"200218 10_41-10_48";0.2
"200218 10_41-10_48";"200218 11_05-11_13";0.4
"200218 10_29-10_37";"200218 11_05-11_13";0.6
"200218 11_05-11_13";"200218 11_57-12_04";0.866666666666667
"200217 11_17-11_24";"200217 12_13-12_20";0.933333333333333
"200218 10_41-10_48";"200218 11_57-12_04";1.26666666666667
"200218 10_29-10_37";"200218 11_57-12_04";1.46666666666667
"200218 11_57-12_04";"200218 13_36-13_43";1.65
"200218 08_46-08_54";"200218 10_29-10_37";1.71666666666667
"200219 09_24-09_32";"200219 11_12-11_20";1.8
"200218 08_46-08_54";"200218 10_41-10_48";1.91666666666667
"200218 08_46-08_54";"200218 11_05-11_13";2.31666666666667
"200218 11_05-11_13";"200218 13_36-13_43";2.51666666666667
"200218 10_41-10_48";"200218 13_36-13_43";2.91666666666667
"200218 10_29-10_37";"200218 13_36-13_43";3.11666666666667
"200218 08_46-08_54";"200218 11_57-12_04";3.18333333333333
"200218 08_46-08_54";"200218 13_36-13_43";4.83333333333333
"200218 13_36-13_43";"200219 09_24-09_32";19.8
"200217 12_13-12_20";"200218 08_46-08_54";20.55
"200218 11_57-12_04";"200219 09_24-09_32";21.45
"200217 11_17-11_24";"200218 08_46-08_54";21.4833333333333
"200218 13_36-13_43";"200219 11_12-11_20";21.6
"200217 12_13-12_20";"200218 10_29-10_37";22.2666666666667
"200218 11_05-11_13";"200219 09_24-09_32";22.3166666666667
"200217 12_13-12_20";"200218 10_41-10_48";22.4666666666667
"200218 10_41-10_48";"200219 09_24-09_32";22.7166666666667
"200217 12_13-12_20";"200218 11_05-11_13";22.8666666666667
"200218 10_29-10_37";"200219 09_24-09_32";22.9166666666667
"200217 11_17-11_24";"200218 10_29-10_37";23.2
"200218 11_57-12_04";"200219 11_12-11_20";23.25
"200217 11_17-11_24";"200218 10_41-10_48";23.4
"200217 12_13-12_20";"200218 11_57-12_04";23.7333333333333
"200217 11_17-11_24";"200218 11_05-11_13";23.8
"200218 11_05-11_13";"200219 11_12-11_20";24.1166666666667
"200218 10_41-10_48";"200219 11_12-11_20";24.5166666666667
"200218 08_46-08_54";"200219 09_24-09_32";24.6333333333333
"200217 11_17-11_24";"200218 11_57-12_04";24.6666666666667
"200218 10_29-10_37";"200219 11_12-11_20";24.7166666666667
"200217 12_13-12_20";"200218 13_36-13_43";25.3833333333333
"200217 11_17-11_24";"200218 13_36-13_43";26.3166666666667
"200218 08_46-08_54";"200219 11_12-11_20";26.4333333333333
"200217 12_13-12_20";"200219 09_24-09_32";45.1833333333333
"200217 11_17-11_24";"200219 09_24-09_32";46.1166666666667
"200217 12_13-12_20";"200219 11_12-11_20";46.9833333333333
"200217 11_17-11_24";"200219 11_12-11_20";47.9166666666667
